date,opening_price,highest_price,lowest_price,closing_price
2014-03-13,1425.84,1451.29,1421.69,1437.39
2014-03-14,1429.78,1438.67,1416.68,1426.39
2014-03-17,1435.27,1438.37,1421.42,1434.16
2014-03-18,1437.54,1438.93,1425.74,1427.63
2014-03-19,1422.34,1422.34,1406.55,1418.71
2014-03-20,1415.67,1432.51,1406.26,1406.91
2014-03-21,1402.81,1468.94,1402.18,1464.08
2014-03-24,1468.81,1486.85,1462.18,1477.53
2014-03-25,1473.18,1483.32,1464.54,1470.12
2014-03-26,1476.25,1480.14,1462.57,1467.08
2014-03-27,1464.17,1486.37,1450.45,1464.53
2014-03-28,1465.03,1483.59,1463.53,1472.05
2014-03-31,1473.15,1477.88,1457.83,1465.78
2014-04-01,1463.71,1481.01,1461.18,1473.14
2014-04-02,1475.94,1492.75,1473.83,1491.3
2014-04-03,1498.11,1504.54,1476.02,1477.49
2014-04-04,1471.49,1491.05,1469.7,1490.33
2014-04-08,1488.65,1543.41,1488.06,1534.75
2014-04-09,1535.21,1539.74,1525.1,1530.88
2014-04-10,1532.22,1587.62,1522.49,1570.4
2014-04-11,1568.24,1576.94,1557.51,1565.31
2014-04-14,1562.19,1568.52,1547.86,1557.7
2014-04-15,1550.43,1550.53,1521.0,1523.22
2014-04-16,1519.24,1536.93,1518.43,1527.05
2014-04-17,1533.07,1534.6,1517.05,1520.56
2014-04-18,1513.68,1524.73,1503.64,1521.28
2014-04-21,1510.18,1526.02,1493.25,1493.76
2014-04-22,1492.08,1510.87,1487.77,1509.55
2014-04-23,1504.54,1514.73,1502.64,1507.04
2014-04-24,1506.59,1523.25,1504.19,1510.28
2014-04-25,1516.68,1522.24,1500.6,1501.05
2014-04-28,1499.68,1505.11,1481.71,1483.78
2014-04-29,1484.01,1497.67,1478.51,1496.01
2014-04-30,1499.12,1500.35,1491.44,1494.81
2014-05-05,1490.1,1493.85,1473.03,1487.53
2014-05-06,1484.01,1497.71,1480.67,1485.25
2014-05-07,1481.94,1485.49,1475.31,1476.18
2014-05-08,1474.73,1499.74,1471.65,1478.72
2014-05-09,1482.32,1486.89,1474.52,1480.74
2014-05-12,1492.63,1513.12,1483.46,1508.39
2014-05-13,1507.0,1510.89,1498.4,1503.52
2014-05-14,1504.42,1510.33,1498.61,1500.83
2014-05-15,1499.22,1503.09,1487.1,1488.77
2014-05-16,1489.5,1493.19,1480.83,1487.74
2014-05-19,1482.04,1482.17,1454.41,1459.21
2014-05-20,1466.05,1468.9,1456.44,1460.82
2014-05-21,1454.49,1474.94,1447.94,1474.14
2014-05-22,1472.34,1493.18,1469.42,1471.55
2014-05-23,1472.41,1484.59,1471.23,1484.37
2014-05-26,1493.34,1495.78,1480.69,1486.05
2014-05-27,1484.82,1488.67,1478.31,1479.73
2014-05-28,1479.5,1493.15,1474.85,1491.76
2014-05-29,1492.66,1497.68,1483.81,1484.31
2014-05-30,1485.1,1490.06,1478.0,1482.1
2014-06-03,1482.44,1491.04,1476.74,1477.52
2014-06-04,1478.2,1478.44,1459.53,1466.39
2014-06-05,1465.54,1484.71,1463.04,1484.24
2014-06-06,1484.52,1484.52,1464.53,1472.27
2014-06-09,1466.64,1489.77,1466.15,1475.35
2014-06-10,1479.86,1493.94,1474.2,1493.53
2014-06-11,1489.37,1493.13,1483.51,1488.76
2014-06-12,1486.89,1490.01,1481.83,1483.86
2014-06-13,1483.58,1509.02,1483.44,1502.96
2014-06-16,1503.66,1521.96,1501.34,1518.71
2014-06-17,1512.46,1512.46,1500.33,1501.94
2014-06-18,1501.19,1504.5,1493.72,1495.43
2014-06-19,1496.66,1500.99,1473.67,1478.04
2014-06-20,1475.94,1485.16,1474.44,1484.48
2014-06-23,1483.66,1489.31,1474.93,1475.76
2014-06-24,1471.73,1481.15,1470.59,1480.13
2014-06-25,1477.09,1477.09,1466.4,1469.95
2014-06-26,1471.65,1480.83,1471.61,1478.01
2014-06-27,1475.72,1480.82,1468.21,1473.76
2014-06-30,1475.72,1486.96,1475.72,1482.4
2014-07-01,1486.79,1488.14,1476.39,1481.66
2014-07-02,1481.33,1486.4,1476.58,1484.84
2014-07-03,1481.85,1492.1,1479.06,1489.55
2014-07-04,1489.82,1495.04,1489.47,1492.46
2014-07-07,1493.07,1497.72,1488.51,1492.84
2014-07-08,1491.72,1493.83,1484.13,1491.96
2014-07-09,1490.94,1491.97,1474.87,1475.14
2014-07-10,1475.18,1478.71,1468.73,1471.17
2014-07-11,1462.35,1474.07,1460.91,1468.54
2014-07-14,1468.69,1482.99,1466.41,1482.78
2014-07-15,1481.11,1487.2,1478.44,1484.66
2014-07-16,1482.33,1490.19,1480.59,1483.18
2014-07-17,1479.12,1479.29,1468.38,1473.67
